,Title,Company Name,Location,Salary,Posted on,day
22,Computer Vision Engineer - Python / OpenCV / Tensorflow,Omnitell Tech India,"Remote in Hyderabad, Telangana","₹50,000 a month",EmployerActive 1 day ago,1
46,newData Analyst,AsteroidX,"Remote in Hyderabad, Telangana","₹2,30,905 a year",EmployerActive 1 day ago,1
2,Python Intern,Aimlytics,"Hyderabad, Telangana","₹12,000 - ₹15,000 a month",EmployerActive 1 day ago,1
45,"newSoftware developer - Microservices, Python Stack",ZF,"Hyderabad, Telangana",-,Posted1 day ago,1
41,newApache Spark Application Developer,Accenture,"Hyderabad, Telangana",-,Posted1 day ago,1
20,"newNetwork Engineer, University Graduate, 2022",Google,"Hyderabad, Telangana",-,Posted1 day ago,1
19,Python Developer&web developer,Evoluzn India Pvt Ltd,"Hyderabad, Telangana","₹10,000 - ₹25,000 a month",EmployerActive 1 day ago,1
25,Python Developer,Venhan Technologies Pvt. Ltd,"Temporarily Remote in Hyderabad, Telangana","₹3,00,000 - ₹15,00,000 a year",EmployerActive 1 day ago,1
36,newData Analyst,AsteroidX,"Remote in Hyderabad, Telangana","₹2,30,905 a year",EmployerActive 1 day ago,1
35,Computer Vision Engineer - Python / OpenCV / Tensorflow,Omnitell Tech India,"Remote in Hyderabad, Telangana","₹50,000 a month",EmployerActive 1 day ago,1
16,newDs Intern (Fresher),cloudy infotech,"Hyderabad, Telangana","₹15,000 - ₹20,000 a month",EmployerActive 1 day ago,1
12,Python Developer,Greatcoder Technologies Pvt Ltd,"Hyderabad, Telangana","₹2,40,000 - ₹3,60,000 a year",EmployerActive 1 day ago,1
58,Python Developer (Front-end) Remote (WFH),Trinity Consulting,"Remote in Hyderabad, Telangana","₹15,00,000 - ₹30,00,000 a year",EmployerActive 1 day ago,1
14,Cloud Engineer,Emplay Inc,"Remote in Hyderabad, Telangana","₹6,00,000 - ₹8,00,000 a year",EmployerActive 1 day ago,1
15,Cloud Engineer,Emplay Inc,"Remote in Hyderabad, Telangana","₹6,00,000 - ₹8,00,000 a year",EmployerActive 1 day ago,1
56,Python Developer (Back-end) Remote (WFH),Trinity Consulting,"Remote in Hyderabad, Telangana","₹15,00,000 - ₹30,00,000 a year",EmployerActive 2 days ago,2
29,newPython/Django Developer,Sahl Business Solutions,"Tolichowki, Hyderabad, Telangana","₹8,00,000 - ₹15,00,000 a year",Posted2 days ago,2
31,Data Engineer / Data Analyst,VAANTECH,"Hyderabad, Telangana","₹1,25,000 a month",EmployerActive 2 days ago,2
37,Jr. Software Developer,PlacementsWorld,"Temporarily Remote in Hyderabad, Telangana","₹2,40,000 - ₹4,20,000 a year",EmployerActive 2 days ago,2
38,Python Developer (Back-end) Remote (WFH),Trinity Consulting,"Remote in Hyderabad, Telangana","₹15,00,000 - ₹30,00,000 a year",EmployerActive 2 days ago,2
54,Data Engineer / Data Analyst,VAANTECH,"Hyderabad, Telangana","₹1,25,000 a month",EmployerActive 2 days ago,2
51,Python Developer,Hybridclosys Software Solutions,"Hyderabad, Telangana","₹7,40,000 - ₹14,77,486 a year",EmployerActive 2 days ago,2
30,newPython/Django Developer,Sahl Business Solutions,"Tolichowki, Hyderabad, Telangana","₹8,00,000 - ₹15,00,000 a year",Posted2 days ago,2
24,Web Developer Internship,Codebook.in,"Hyderabad, Telangana",-,EmployerActive 2 days ago,2
8,Jr. Software Developer,PlacementsWorld,"Temporarily Remote in Hyderabad, Telangana","₹2,40,000 - ₹4,20,000 a year",EmployerActive 2 days ago,2
3,Python Developer Intern,Codebook.in,"Hyderabad, Telangana","₹4,000 - ₹5,000 a month",EmployerActive 2 days ago,2
13,Python Developer,www.itspe.co.in,"Hyderabad, Telangana","₹30,000 - ₹40,000 a month",EmployerActive 2 days ago,2
39,newDevOps and Cloud infrastructure Engineer,Verizon,"Hyderabad, Telangana",-,Posted3 days ago,3
6,newDjango/Python Developer,Asian Hr Consultant,"Remote in Hyderabad, Telangana","₹15,000 - ₹63,282 a month",EmployerActive 3 days ago,3
9,newAssociate - Projects,Cognizant Technology Solutions,"Hyderabad, Telangana",-,Posted3 days ago,3
34,newPython Developer,Ritwik Software,"Hyderabad, Telangana",-,Posted3 days ago,3
33,newAssociate - Projects,Cognizant Technology Solutions,"Hyderabad, Telangana",-,Posted3 days ago,3
49,Associate Software Engineer,Osmosys software solutions,"Hyderabad, Telangana",-,EmployerActive 3 days ago,3
10,Associate Python Developer (JOB_ID_P110122FT),Knowledge Sprint Technologies,"Temporarily Remote in Hyderabad, Telangana","₹3,50,000 - ₹5,00,000 a year",EmployerActive 3 days ago,3
28,newPython Developer,Ritwik Software,"Hyderabad, Telangana",-,Posted3 days ago,3
26,newDevOps and Cloud infrastructure Engineer,Verizon,"Hyderabad, Telangana",-,Posted3 days ago,3
18,newBackend Developer,Einsite,"Remote in Hyderabad, Telangana","₹5,00,000 - ₹10,00,000 a year",Posted3 days ago,3
23,newPython/Django Developer,ANALOGUE IT SOLUTIONS,"Hyderabad, Telangana","₹35,000 - ₹50,000 a month",EmployerActive 4 days ago,4
1,"newfor freshers (trained );Dot net, Python, Testing and React;",Radical Technologies,"Hyderabad, Telangana",-,Posted4 days ago,4
53,newProduction Support Specialist,DBS Bank,"Hyderabad, Telangana",-,Posted4 days ago,4
11,Python Internship,A Plus Topper,"Remote in Hyderabad, Telangana","₹10,000 - ₹12,000 a month",EmployerActive 6 days ago,6
7,newPython Programming Language Application Developer,Accenture,"Hyderabad, Telangana",-,Posted7 days ago,7
5,Software Engineer,Poll the People,"Temporarily Remote in Hyderabad, Telangana","₹15,23,913 - ₹30,22,914 a year",EmployerActive 7 days ago,7
52,newSoftware Engineering -SMTS/LMTS,Salesforce,"Hyderabad, Telangana",-,Posted7 days ago,7
47,Python Developer,Navtech (Navaratan Technologies),"Hyderabad, Telangana","₹10,00,000 a year",EmployerActive 8 days ago,8
21,DevOps Engineer,GE Digital,"Hyderabad, Telangana",-,Posted8 days ago,8
17,newPython Developers,Qvantel,"Hyderabad, Telangana",-,Posted8 days ago,8
42,Sr. Network Engineer,Ambc Technologies,"Hyderabad, Telangana","₹12,956 - ₹57,423 a month",Posted8 days ago,8
32,Cybersecurity Associate,Spacelabs,"Hyderabad, Telangana",-,Posted10 days ago,10
4,Python Developer,datanomist,"Hyderabad, Telangana",-,Posted11 days ago,11
0,"626 - Data Analyst (SQL, Python with BI tools)",Software Companies,"Hyderabad, Telangana",-,Posted12 days ago,12
